id,AssessTot,LotFront,NumFloors,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,YearBuilt,CommFAR,PopDensity,MedIncome,NumofHouses,EduRate,UnemployedRate,IfAlter,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Zone,LandUse
0,156510900,0,0,2725731,0,0,0,0,0,0,2725731,1900,0,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,L Manhattan,8
1,12197250,500,0,541886,0,0,0,0,0,0,541886,1900,0,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,L Manhattan,8
6,25390080,311,5,158197,0,0,0,0,0,0,158197,1900,3.4,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,L Manhattan,7
8,17134650,793.67,2,24346,0,0,0,0,0,0,24346,1987,3.4,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,L Manhattan,7
9,129665250,323,1,945425,0,0,0,0,0,0,945425,1951,0,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,L Manhattan,9
19,327600,19,4.5,4104,0,1026,3078,0,0,0,0,1920,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
22,943650,36.17,5,4485,2990,1495,2990,0,0,0,0,1935,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
26,535090,28.42,5,3012,4473,1491,1521,0,0,0,0,1900,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
29,6046650,78.92,7.5,0,0,0,0,0,0,0,0,1950,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
33,138236850,211.33,32,845018,0,839651,5367,0,0,0,0,1970,15,5516,119691,2082,0.99,0.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
